File name                                                                                                                           ,File CRC   ,Class CRC
Sonic the Hedgehog Golf (SEGA) (1.0.0) (SonicGolf.SonicGolf) (1B0001AF) Sagem myV-65 128x160.jar                                    ,0x92dbf4c3 ,0x0a116771
Sonic the Hedgehog Golf (SEGABiNPDA) (1.0.0) (SonicGolf.SonicGolf) (7D53547D) Nokia s60v3 352x416.jar                               ,0xb9d45221 ,0xae6d6762
Sonic the Hedgehog Golf (SEGA) (1.0.0) (SonicGolf.SonicGolf) (1414D1CD) Nokia s60v3 352x416.jar                                     ,0x0346e2e4 ,0xae6d6762
Sonic the Hedgehog Golf (SEGA_retail_Etty) (1.0.0) (SonicGolf.SonicGolf) (FB788CFC) Motorola E1000 240x299.jar                      ,0x86df993b ,0xbcc46af1
Sonic the Hedgehog Golf (SEGA) (1.0.0) (SonicGolf.SonicGolf) (A42C2A65) Nokia 6280 240x320.jar                                      ,0x93ec167a ,0xc58cf187
Sonic the Hedgehog Golf (SEGA) (1.0.0) (SonicGolf.SonicGolf) (90D6DC70) Nokia 6280 240x320.jar                                      ,0xe9bd12d3 ,0xc58cf187
Sonic the Hedgehog Golf (SEGA) (1.0.0) (SonicGolf.SonicGolf) (5491FBE0) Samsung SGH-D900 240x320.jar                                ,0x914a2433 ,0xe908b376
Sonic the Hedgehog Golf (SEGA) (1.0.0) (SonicGolf.SonicGolf) (53248AB1) Samsung SGH-D900 240x320.jar                                ,0x4747bb5c ,0xe908b376
Sonic the Hedgehog Golf (SEGA) (1.0.0) (SonicGolf.SonicGolf) (E6413AA0) Samsung SGH-E370 128x160.jar                                ,0x9d7695e8 ,0xe9f7d7b5
Sonic the Hedgehog Golf (SEGA_retail_Etty) (1.0.0) (SonicGolf.SonicGolf) (AFBD9B82) Siemens C65 130x130.jar                         ,0x8d8de103 ,0x0f2cb002
Sonic the Hedgehog Golf (SEGA) (1.0.0) (SonicGolf.SonicGolf) (1ABF19A5) Nokia N90 352x416.jar                                       ,0xa7ee7914 ,0xf3fe22b5
Sonic the Hedgehog Golf (SEGA) (1.0.0) (SonicGolf.SonicGolf) (74D9F1AD) Nokia 6230i 208x208.jar                                     ,0xbe8e4d71 ,0xf5e3103f
Sonic the Hedgehog Golf (SEGA) (1.0.0) (SonicGolf.SonicGolf) (4A67070C) Nokia 6230i 208x208.jar                                     ,0x4c2b9516 ,0xf5e3103f
Sonic the Hedgehog Golf (SEGA) (1.0.0) (SonicGolf.SonicGolf) (3FD947B6) Motorola 176x220.jar                                        ,0xab693eb2 ,0xfd1e20a2
